"","subj_id","epoch_num","avg_epoch_accuracy","accuracy_sd","avg_rt","rt_sd","block_num","gameA_isSR","game_type","num_rest_in_chunk","rest_type","cue_transition_type","cue_type","epochs_on_this_task_continuously","avg_epoch_accuracy_centered","dataset"
"1",1004,1,1,0,2146.65000004768,347.658668067587,1,FALSE,"digit_span",3,"epoch_same_same","stay_within_block","stay",1,0.257499999999997,1
"2",1005,1,0.8,0.421637021355784,2530.24999999851,556.631504379071,1,FALSE,"digit_span",3,"epoch_same_same","stay_within_block","stay",1,0.0574999999999968,1
"3",1006,1,0.7,0.483045891539648,3372.02000000179,376.291101261035,1,TRUE,"spatial_recall",5,"epoch_same_same","stay_within_block","stay",1,-0.0425000000000033,1
"4",1008,1,0.8,0.421637021355784,3080.10000001391,594.309435398563,1,TRUE,"spatial_recall",3,"epoch_same_same","stay_within_block","stay",1,0.0574999999999968,1
"5",1010,1,0.8,0.421637021355784,2894.28999999762,270.264880148324,1,TRUE,"spatial_recall",20,"epoch_same_same","stay_within_block","stay",1,0.0574999999999968,1
"6",1012,1,0,0,NA,NA,1,TRUE,"spatial_recall",12,"epoch_same_same","stay_within_block","stay",1,-0.742500000000003,1
"7",1014,1,0.6,0.516397779494322,2932.63999999948,431.361053204847,1,TRUE,"spatial_recall",20,"epoch_same_same","stay_within_block","stay",1,-0.142500000000003,1
"8",1017,1,0,0,NA,NA,1,TRUE,"spatial_recall",20,"epoch_same_same","stay_within_block","stay",1,-0.742500000000003,1
"9",1022,1,0.7,0.483045891539648,3269.93750000372,349.22843911032,1,TRUE,"spatial_recall",20,"epoch_same_same","stay_within_block","stay",1,-0.0425000000000033,1
"10",1024,1,1,0,2584.21000000238,290.247015298598,1,FALSE,"digit_span",2,"epoch_same_same","stay_within_block","stay",1,0.257499999999997,1
"11",1025,1,0.7,0.483045891539648,2157.68000000268,500.435842928358,1,TRUE,"spatial_recall",1,"epoch_same_same","stay_within_block","stay",1,-0.0425000000000033,1
"12",1026,1,0.8,0.421637021355784,3151.88750000019,206.902616413143,1,FALSE,"digit_span",17,"epoch_same_same","stay_within_block","stay",1,0.0574999999999968,1
"13",1027,1,0.8,0.421637021355784,2889.47000001073,483.784031360885,1,TRUE,"spatial_recall",7,"epoch_same_same","stay_within_block","stay",1,0.0574999999999968,1
"14",1028,1,0.9,0.316227766016838,3231.4555555582,370.090465667137,1,FALSE,"digit_span",5,"epoch_same_same","stay_within_block","stay",1,0.157499999999997,1
"15",1029,1,1,0,3291.3,273.80652130859,1,FALSE,"digit_span",8,"epoch_same_same","stay_within_block","stay",1,0.257499999999997,1
"16",1030,1,0.9,0.316227766016838,2866.75999999996,426.438376947148,1,FALSE,"digit_span",20,"epoch_same_same","stay_within_block","stay",1,0.157499999999997,1
"17",1031,1,0,0,NA,NA,1,FALSE,"digit_span",3,"epoch_same_same","stay_within_block","stay",1,-0.742500000000003,1
"18",1032,1,0,0,NA,NA,1,TRUE,"spatial_recall",20,"epoch_same_same","stay_within_block","stay",1,-0.742500000000003,1
"19",1033,1,0.8,0.421637021355784,2914.63333331214,484.779764405028,1,FALSE,"digit_span",3,"epoch_same_same","stay_within_block","stay",1,0.0574999999999968,1
"20",1034,1,0.9,0.316227766016838,3396.1599999994,438.015573545875,1,FALSE,"digit_span",20,"epoch_same_same","stay_within_block","stay",1,0.157499999999997,1
"21",1036,1,1,0,2686.7400000006,322.527129608491,1,FALSE,"digit_span",20,"epoch_same_same","stay_within_block","stay",1,0.257499999999997,1
"22",1038,1,0.6,0.516397779494322,3642.19999999801,564.377529661588,1,TRUE,"spatial_recall",8,"epoch_same_same","stay_within_block","stay",1,-0.142500000000003,1
"23",1039,1,1,0,2674.73000000119,227.947182225092,1,FALSE,"digit_span",2,"epoch_same_same","stay_within_block","stay",1,0.257499999999997,1
"24",1040,1,0.9,0.316227766016838,3061.6,514.633245892429,1,FALSE,"digit_span",2,"epoch_same_same","stay_within_block","stay",1,0.157499999999997,1
"25",1041,1,1,0,2652.8400000006,408.612177444312,1,TRUE,"spatial_recall",20,"epoch_same_same","stay_within_block","stay",1,0.257499999999997,1
"26",1042,1,0.9,0.316227766016838,3425.87777781486,380.714130891624,1,FALSE,"digit_span",20,"epoch_same_same","stay_within_block","stay",1,0.157499999999997,1
"27",1043,1,1,0,2326.37999999672,458.167043287404,1,TRUE,"spatial_recall",3,"epoch_same_same","stay_within_block","stay",1,0.257499999999997,1
"28",1044,1,0.8,0.421637021355784,2799.46,467.551005417245,1,FALSE,"digit_span",9,"epoch_same_same","stay_within_block","stay",1,0.0574999999999968,1
"29",1045,1,0.9,0.316227766016838,2837.68999999985,380.041390873262,1,TRUE,"spatial_recall",20,"epoch_same_same","stay_within_block","stay",1,0.157499999999997,1
"30",1049,1,0.6,0.516397779494322,3396.30999999642,164.357154785642,1,TRUE,"spatial_recall",3,"epoch_same_same","stay_within_block","stay",1,-0.142500000000003,1
"31",1050,1,0.5,0.52704627669473,3697.83333333333,290.838385820487,1,TRUE,"spatial_recall",9,"epoch_same_same","stay_within_block","stay",1,-0.242500000000003,1
"32",1051,1,0.6,0.516397779494322,3641.43333332737,313.204052772231,1,FALSE,"digit_span",7,"epoch_same_same","stay_within_block","stay",1,-0.142500000000003,1
"33",1052,1,0.9,0.316227766016838,2204.31999999732,692.816808879472,1,TRUE,"spatial_recall",6,"epoch_same_same","stay_within_block","stay",1,0.157499999999997,1
"34",1054,1,1,0,2524.03999999994,290.020888902808,1,TRUE,"spatial_recall",20,"epoch_same_same","stay_within_block","stay",1,0.257499999999997,1
"35",1055,1,0.2,0.421637021355784,3024.6666667064,704.811488724637,1,TRUE,"spatial_recall",16,"epoch_same_same","stay_within_block","stay",1,-0.542500000000003,1
"36",1057,1,0,0,NA,NA,1,TRUE,"spatial_recall",12,"epoch_same_same","stay_within_block","stay",1,-0.742500000000003,1
"37",1060,1,0,0,NA,NA,1,FALSE,"digit_span",20,"epoch_same_same","stay_within_block","stay",1,-0.742500000000003,1
"38",1061,1,0.5,0.52704627669473,2479.31000000238,662.275713731608,1,FALSE,"digit_span",2,"epoch_same_same","stay_within_block","stay",1,-0.242500000000003,1
"39",1062,1,0.7,0.483045891539648,3379.81428571258,425.710317898005,1,FALSE,"digit_span",18,"epoch_same_same","stay_within_block","stay",1,-0.0425000000000033,1
"40",1063,1,0.7,0.483045891539648,3266.70000000298,403.510060453288,1,TRUE,"spatial_recall",20,"epoch_same_same","stay_within_block","stay",1,-0.0425000000000033,1
"41",1065,1,0.9,0.316227766016838,2784.5400000006,470.90178546205,1,FALSE,"digit_span",5,"epoch_same_same","stay_within_block","stay",1,0.157499999999997,1
"42",1066,1,0.6,0.516397779494322,3548.90000000596,380.045523585874,1,FALSE,"digit_span",20,"epoch_same_same","stay_within_block","stay",1,-0.142500000000003,1
"43",1067,1,0.9,0.316227766016838,2726.64444444453,459.211163602734,1,TRUE,"spatial_recall",20,"epoch_same_same","stay_within_block","stay",1,0.157499999999997,1
"44",1068,1,0.7,0.483045891539648,3050.60000000894,307.858877679774,1,TRUE,"spatial_recall",20,"epoch_same_same","stay_within_block","stay",1,-0.0425000000000033,1
"45",1069,1,0.8,0.421637021355784,3374,398.386495755562,1,FALSE,"digit_span",20,"epoch_same_same","stay_within_block","stay",1,0.0574999999999968,1
"46",1070,1,1,0,2823.4,412.384179026198,1,FALSE,"digit_span",11,"epoch_same_same","stay_within_block","stay",1,0.257499999999997,1
"47",1071,1,1,0,1746.09000000134,250.279139496249,1,TRUE,"spatial_recall",3,"epoch_same_same","stay_within_block","stay",1,0.257499999999997,1
"48",1072,1,0.1,0.316227766016838,3410.5,NA,1,TRUE,"spatial_recall",2,"epoch_same_same","stay_within_block","stay",1,-0.642500000000003,1
"49",1501,1,1,0,2696.3599999994,341.318799166767,1,FALSE,"digit_span",6,"epoch_same_same","stay_within_block","stay",1,0.257499999999997,1
"50",1502,1,1,0,2713,541.712164242266,1,FALSE,"digit_span",4,"epoch_same_same","stay_within_block","stay",1,0.257499999999997,1
"51",1503,1,0.5,0.52704627669473,3833.46666669845,187.161381332943,1,FALSE,"digit_span",5,"epoch_same_same","stay_within_block","stay",1,-0.242500000000003,1
"52",1505,1,1,0,3225.26000000089,353.188212965191,1,FALSE,"digit_span",20,"epoch_same_same","stay_within_block","stay",1,0.257499999999997,1
"53",1508,1,1,0,2514.33999999911,207.365250491153,1,FALSE,"digit_span",8,"epoch_same_same","stay_within_block","stay",1,0.257499999999997,1
"54",1509,1,1,0,2029.55999999996,592.124874592419,1,FALSE,"digit_span",19,"epoch_same_same","stay_within_block","stay",1,0.257499999999997,1
"55",1510,1,0,0,NA,NA,1,FALSE,"digit_span",20,"epoch_same_same","stay_within_block","stay",1,-0.742500000000003,1
"56",1511,1,0.6,0.516397779494322,3543.3125,240.983837454568,1,TRUE,"spatial_recall",3,"epoch_same_same","stay_within_block","stay",1,-0.142500000000003,1
"57",1513,1,0,0,NA,NA,1,TRUE,"spatial_recall",19,"epoch_same_same","stay_within_block","stay",1,-0.742500000000003,1
"58",1514,1,0.9,0.316227766016838,3122.13333331214,330.603879285984,1,FALSE,"digit_span",11,"epoch_same_same","stay_within_block","stay",1,0.157499999999997,1
"59",1515,1,1,0,2289.1,333.295814555179,1,FALSE,"digit_span",2,"epoch_same_same","stay_within_block","stay",1,0.257499999999997,1
"60",1516,1,0.9,0.316227766016838,3047.78999999985,257.097562328686,1,FALSE,"digit_span",2,"epoch_same_same","stay_within_block","stay",1,0.157499999999997,1
