"","subj_id","epoch_num","avg_epoch_accuracy","accuracy_sd","avg_rt","rt_sd","block_num","gameA_isSR","game_type","num_rest_in_chunk","rest_type","cue_transition_type","cue_type","epochs_on_this_task_continuously","avg_epoch_accuracy_centered"
"37",72,1,0,0,NA,NA,1,TRUE,"spatial_recall",20,"epoch_same_same","stay_within_block","stay",1,-0.526569579288028
"38",73,1,0.9,0.316227766016838,3002.11111111111,243.102573230131,1,FALSE,"digit_span",16,"epoch_same_same","stay_within_block","stay",1,0.373430420711972
"39",74,1,0.9,0.316227766016838,3403.84444444446,508.133634271315,1,TRUE,"spatial_recall",20,"epoch_same_same","stay_within_block","stay",1,0.373430420711972
"40",75,1,0.9,0.316227766016838,2777.9799999997,399.712482222479,1,TRUE,"spatial_recall",20,"epoch_same_same","stay_within_block","stay",1,0.373430420711972
"41",77,1,0.9,0.316227766016838,2165.9444444312,442.831175830989,1,TRUE,"spatial_recall",2,"epoch_same_same","stay_within_block","stay",1,0.373430420711972
"42",78,1,0,0,NA,NA,1,FALSE,"digit_span",20,"epoch_same_same","stay_within_block","stay",1,-0.526569579288028
"43",79,1,0.9,0.316227766016838,2376.67000000477,248.651255349536,1,TRUE,"spatial_recall",5,"epoch_same_same","stay_within_block","stay",1,0.373430420711972
"44",81,1,0.9,0.316227766016838,2747.55555555556,738.799551825648,1,FALSE,"digit_span",2,"epoch_same_same","stay_within_block","stay",1,0.373430420711972
"45",82,1,0.4,0.516397779494322,3905.4,240.323323878478,1,FALSE,"digit_span",4,"epoch_same_same","stay_within_block","stay",1,-0.126569579288028
"46",83,1,1,0,2806.9,481.127252744358,1,FALSE,"digit_span",20,"epoch_same_same","stay_within_block","stay",1,0.473430420711972
"47",85,1,0,0,NA,NA,1,FALSE,"digit_span",14,"epoch_same_same","stay_within_block","stay",1,-0.526569579288028
"48",86,1,0.1,0.316227766016838,3943,NA,1,FALSE,"digit_span",16,"epoch_same_same","stay_within_block","stay",1,-0.426569579288028
"49",87,1,0,0,NA,NA,1,TRUE,"spatial_recall",20,"epoch_same_same","stay_within_block","stay",1,-0.526569579288028
"50",88,1,0,0,NA,NA,1,TRUE,"spatial_recall",20,"epoch_same_same","stay_within_block","stay",1,-0.526569579288028
"51",90,1,0,0,NA,NA,1,FALSE,"digit_span",13,"epoch_same_same","stay_within_block","stay",1,-0.526569579288028
"52",93,1,0.3,0.483045891539648,3782.90000000099,414.231090093137,1,TRUE,"spatial_recall",20,"epoch_same_same","stay_within_block","stay",1,-0.226569579288028
"53",94,1,0.1,0.316227766016838,3739,356.38181771802,1,FALSE,"digit_span",20,"epoch_same_same","stay_within_block","stay",1,-0.426569579288028
"54",95,1,0.6,0.516397779494322,3570.83333333333,335.002935310523,1,FALSE,"digit_span",20,"epoch_same_same","stay_within_block","stay",1,0.0734304207119723
"55",96,1,0.7,0.483045891539648,2747.10000000015,470.09361035868,1,TRUE,"spatial_recall",7,"epoch_same_same","stay_within_block","stay",1,0.173430420711972
